Model,N_folds,AUROC_mean,AUROC_sd,Balanced_Accuracy_mean,Balanced_Accuracy_sd,Macro_F1_mean,Macro_F1_sd,Asthma_Sensitivity_mean,Asthma_Sensitivity_sd,COPD_Sensitivity_mean,COPD_Sensitivity_sd,Threshold_mean,Threshold_sd,Arm
Extra Trees,50,0.91140839227646,0.02779648419048273,0.8124790272699994,0.04058381539881553,0.7255282716757913,0.0609590584407438,0.8234503622323064,0.0867276751925293,0.8015076923076923,0.10580562639112061,0.716,0.08007649404138009,A_full
Logistic Regression,50,0.926670293276503,0.018586103357517997,0.8491055476964721,0.0294045780111771,0.7630269395789,0.05125999028192857,0.8504880184698671,0.06643550735113539,0.8477230769230769,0.07597245574628823,0.5362999999999999,0.0824671239380412,A_full
Random Forest,50,0.9596901275621125,0.011628727238802143,0.8973208416772305,0.024585500081742675,0.7992005719712459,0.03484604122806726,0.8653801448929227,0.04617586572866036,0.9292615384615384,0.07400590386929391,0.7249999999999999,0.10553072867121477,A_full
SVM,50,0.9008905856344117,0.1733536034830589,0.831689380438843,0.07748091651531298,0.741087014888634,0.07405444048229311,0.8458402993392247,0.0770202616817846,0.8175384615384615,0.20165910083036576,0.8315,0.17115826904133055,A_full
XGBoost (regularized),50,0.9593073113973041,0.012206235704425904,0.9077567721825186,0.018009317884602537,0.80819639621344,0.03201584981839253,0.870036621288114,0.03673592408835112,0.945476923076923,0.044956912914904466,0.5344,0.17904406024832015,A_full
Extra Trees,50,0.8531036468189083,0.03659553356075445,0.7610714017134843,0.04449980935191613,0.674811893613277,0.07536155183958107,0.7831581880423534,0.12125911204499494,0.7389846153846154,0.11589092890510294,0.7058,0.12072214682772121,B_no_ratio
Logistic Regression,50,0.8971425449958051,0.023893305372384755,0.7915849056603774,0.03194849615084381,0.7141569572256751,0.05060164279276479,0.8271698113207548,0.08940530363053187,0.7559999999999999,0.12189146518072097,0.5065999999999999,0.14933334851797786,B_no_ratio
Random Forest,50,0.9159693630467932,0.02097987740914739,0.8379310735916421,0.03989186088294612,0.7410281777190163,0.04614352386166044,0.8295852241063609,0.057921757036544216,0.8462769230769231,0.0893826672254645,0.7302,0.06479134484903781,B_no_ratio
SVM,50,0.9057505630982345,0.026470963629510864,0.8051762953708977,0.03240867577376184,0.7183740771275114,0.04733650759567241,0.8219218215110261,0.07657833787824496,0.7884307692307693,0.10463996386850084,0.8354999999999998,0.07610579371332182,B_no_ratio
XGBoost (regularized),50,0.9268581421126442,0.01748425114710477,0.8320214203915661,0.033909550978809495,0.7259893593398388,0.05257955758657645,0.80853514847544,0.08028775903443766,0.8555076923076923,0.10206553652987864,0.6639,0.14322199836731273,B_no_ratio
Extra Trees,50,0.7976776285572559,0.041947161746440975,0.7090284604973881,0.042982262123040356,0.6235839617888365,0.05710433296002755,0.7479953825332379,0.11550394973777528,0.6700615384615384,0.14262405667800884,0.5228999999999998,0.11785536795200312,C_no_spx
Logistic Regression,50,0.8090093819085937,0.037004642275747034,0.716580507431427,0.03785115257979703,0.6346667524000256,0.058401916555939896,0.7611917840936232,0.11117708437713,0.6719692307692307,0.11647036624921095,0.4697999999999999,0.0894310816626241,C_no_spx
Random Forest,50,0.8171248271511945,0.03803947740666563,0.7277294348196186,0.04579532703498621,0.6372469479398805,0.06184469931730847,0.7529050234853912,0.1092884048642606,0.702553846153846,0.12398940007905812,0.6345,0.1130885962962,C_no_spx
SVM,50,0.7675500566466412,0.17564059862694462,0.7060765642127954,0.07373886106229817,0.6258382747909251,0.07308694734802333,0.7819377438102062,0.11652116243634571,0.6302153846153846,0.21890236991554743,0.7716,0.222647428799482,C_no_spx
XGBoost (regularized),50,0.8182605182095988,0.037898489991896954,0.7314707905421542,0.04063133910517733,0.6411935026293304,0.061478532657027636,0.7557415810843087,0.11277205944163443,0.7071999999999998,0.12311162776012516,0.5458999999999999,0.11785796536509531,C_no_spx
Extra Trees,50,0.7796005327846264,0.0428577690891882,0.7089370456786267,0.047343578317114894,0.6176181846162452,0.05811948167709257,0.7337202452034073,0.10512550101428803,0.6841538461538461,0.11842024601946541,0.5448,0.13855655295707578,D_final
Logistic Regression,50,0.794140876828768,0.037847861772460974,0.7090219678736996,0.04022186595858876,0.6112335916066699,0.054854590655912465,0.7215516280550912,0.11240750774534958,0.6964923076923075,0.13431036625576598,0.4876999999999999,0.08328222242128612,D_final
Random Forest,50,0.8035410979037682,0.03822984969630338,0.726613263275217,0.04170626798952103,0.6289030232175765,0.051789317738836445,0.7388265265504339,0.10089119702122305,0.7143999999999999,0.1298161817097221,0.6393,0.09467996577083954,D_final
SVM,50,0.7434383127262039,0.1798478743862629,0.695544231534726,0.07664539840420148,0.611935878705741,0.06841614460501043,0.7738269246079134,0.11306349969867203,0.6172615384615385,0.23146964143057097,0.7635,0.24387235286066333,D_final
XGBoost (regularized),50,0.8037568946617429,0.03843441479538072,0.7291223322493922,0.03796077692506569,0.6374131617350958,0.04971402821308324,0.7531677414218614,0.08883244959466967,0.705076923076923,0.10392153784590304,0.5355,0.0862498151432506,D_final
