Arm,AUROC,Accuracy,Balanced_Accuracy,Macro_F1,Asthma_Sensitivity,COPD_Sensitivity,Model,Fold,Repeat,Threshold,Inner_CV_AUC
B_no_ratio,0.8655055636187712,0.8,0.771044992743106,0.6906214689265537,0.8113207547169812,0.7307692307692307,Logistic Regression,1,1,0.48499999999999993,0.8883698830409357
B_no_ratio,0.8817126269956459,0.7891891891891892,0.7808417997097243,0.6861542476836748,0.7924528301886793,0.7692307692307693,SVM,1,1,0.8649999999999999,0.9002236842105263
B_no_ratio,0.892114175133043,0.8486486486486486,0.8476052249637156,0.7585756897837435,0.8490566037735849,0.8461538461538461,Random Forest,1,1,0.6849999999999999,0.9069371345029239
B_no_ratio,0.8173681664247702,0.8378378378378378,0.6965408805031447,0.6843721565059144,0.8930817610062893,0.5,Extra Trees,1,1,0.63,0.8403859649122808
B_no_ratio,0.9182389937106918,0.8,0.8353894533139816,0.7126485034213509,0.7861635220125787,0.8846153846153846,XGBoost (regularized),1,1,0.7449999999999999,0.9206739766081873
B_no_ratio,0.8938074504112239,0.8702702702702703,0.81192549588776,0.7674905739421869,0.8930817610062893,0.7307692307692307,Logistic Regression,2,1,0.31499999999999995,0.8808786549707601
B_no_ratio,0.9114658925979681,0.8486486486486486,0.7832607643928399,0.7354983660130718,0.8742138364779874,0.6923076923076923,SVM,2,1,0.73,0.8838991228070177
B_no_ratio,0.9245283018867925,0.8648648648648649,0.8731253023705854,0.7821376419049413,0.8616352201257862,0.8846153846153846,Random Forest,2,1,0.72,0.8842119883040935
B_no_ratio,0.8925979680696663,0.8324324324324325,0.7899129172714079,0.7238673022292841,0.8490566037735849,0.7307692307692307,Extra Trees,2,1,0.62,0.8129327485380118
B_no_ratio,0.9230769230769231,0.8918918918918919,0.7923318819545235,0.7831692451945617,0.9308176100628931,0.6538461538461539,XGBoost (regularized),2,1,0.32499999999999996,0.8973669590643274
B_no_ratio,0.9139622641509434,0.8478260869565217,0.7771069182389938,0.7284419144001686,0.8742138364779874,0.68,Logistic Regression,3,1,0.44499999999999995,0.8710365497076025
B_no_ratio,0.9277987421383648,0.8967391304347826,0.8391194968553459,0.8027867095391211,0.9182389937106918,0.76,SVM,3,1,0.7499999999999999,0.8602236842105263
B_no_ratio,0.9242767295597485,0.8695652173913043,0.8571069182389937,0.7784467188440698,0.8742138364779874,0.84,Random Forest,3,1,0.8099999999999999,0.9002894736842105
B_no_ratio,0.8440251572327044,0.7554347826086957,0.7742138364779874,0.6557888172937019,0.7484276729559748,0.8,Extra Trees,3,1,0.63,0.8500745614035088
B_no_ratio,0.9484276729559749,0.8586956521739131,0.9013836477987421,0.7801066372494945,0.8427672955974843,0.96,XGBoost (regularized),3,1,0.7,0.9065058479532164
B_no_ratio,0.8596226415094339,0.8260869565217391,0.7476729559748427,0.6973684210526316,0.8553459119496856,0.64,Logistic Regression,4,1,0.42999999999999994,0.8870160818713451
