Comparison,Model,delta_mean,boot_lo,boot_hi,n_repeats,wilcoxon_p
Total leakage + race (A - D),SVM,0.15745227290820793,0.08042179955662519,0.22780729063707572,10,0.009765625
Total leakage + race (A - D),Random Forest,0.1561490296583442,0.15087918350756,0.16186049418836085,10,0.001953125
Total leakage + race (A - D),XGBoost (regularized),0.15555041673556125,0.1509703825485477,0.15968799622457794,10,0.001953125
Total leakage + race (A - D),Logistic Regression,0.13252941644773503,0.13024844711653286,0.13501911524070226,10,0.001953125
Total leakage + race (A - D),Extra Trees,0.13180785949183368,0.12736684257745276,0.13664701784522296,10,0.001953125
All spirometry (A - C),Random Forest,0.1425653004109178,0.13790108124659356,0.14776548180264923,10,0.001953125
All spirometry (A - C),XGBoost (regularized),0.14104679318770558,0.13781919453069028,0.1441964269288947,10,0.001953125
All spirometry (A - C),SVM,0.13334052898777043,0.05614396119245773,0.20891728971848145,10,0.009765625
All spirometry (A - C),Logistic Regression,0.1176609113679092,0.11453968219703232,0.1212017015426258,10,0.001953125
All spirometry (A - C),Extra Trees,0.11373076371920413,0.11144758666936118,0.11600937498851754,10,0.001953125
Ratio and FVC (A - B),Extra Trees,0.05830474545755173,0.05535972883099701,0.06106204472941274,10,0.001953125
Ratio and FVC (A - B),Random Forest,0.04372076451531909,0.04091501974977493,0.04624036612102173,10,0.001953125
Ratio and FVC (A - B),XGBoost (regularized),0.03244916928466009,0.02891701170595188,0.03543477740931944,10,0.001953125
Ratio and FVC (A - B),Logistic Regression,0.02952774828069788,0.026996650530028848,0.03204532447808537,10,0.001953125
Ratio and FVC (A - B),SVM,-0.004859977463822713,-0.05552723457221072,0.030950517826851116,10,0.431640625
Race/ethnicity (C - D),SVM,0.024111743920437502,-0.03237303907699657,0.08199822267335401,10,0.232421875
Race/ethnicity (C - D),Extra Trees,0.018077095772629562,0.015311890864887047,0.021493045507155837,10,0.001953125
Race/ethnicity (C - D),Logistic Regression,0.01486850507982582,0.012344853484227711,0.017743205036345702,10,0.001953125
Race/ethnicity (C - D),XGBoost (regularized),0.014503623547855685,0.011553858554867617,0.01767471502146448,10,0.001953125
Race/ethnicity (C - D),Random Forest,0.013583729247426393,0.009534184165885867,0.017818284448812848,10,0.001953125
