feature,with_imputed,complete_only,rank_imputed,rank_complete
age,0.04547094523106763,0.0742659642011132,4.0,1.0
bmi,0.037513870772928386,0.03964183126758306,5.0,4.0
cough_most_days_3mo_1.0,0.001443258681672586,0.0015017631558870213,32.0,36.0
cough_most_days_3mo_2.0,0.0007364467548253468,0.0016356787845493005,37.0,35.0
current_smoking_status_0.0,0.05660473421636335,0.04872374123399967,1.0,3.0
current_smoking_status_1.0,0.008201771740533229,0.010469512788325837,17.0,16.0
current_smoking_status_2.0,0.0007500887252947003,0.0026682558280240387,36.0,33.0
current_smoking_status_3.0,0.0031162120677774717,0.006637281302063887,24.0,22.0
dry_cough_night_1.0,0.0034691132367944705,0.003333984267704241,22.0,29.0
dry_cough_night_2.0,0.0033725720075862163,0.004649785846097897,23.0,27.0
education_1.0,0.0021185349478234404,0.0008397642803123224,28.0,37.0
education_2.0,0.0010180850827133494,0.003179851379797164,34.0,30.0
education_3.0,0.001958622070043407,0.0031579772364885026,29.0,31.0
education_4.0,0.0015619676942738745,0.0030062359115310545,30.0,32.0
education_5.0,0.0023733407938158536,0.004433244151304875,27.0,28.0
eosinophil_count,0.004077050827982541,0.011137879526881729,21.0,14.0
eosinophil_pct,0.008871561513890257,0.016772334932504063,14.0,8.0
ever_smoked_100_1.0,0.046360132311799425,0.03461676368765089,3.0,5.0
ever_smoked_100_2.0,0.04934878335966325,0.053815483255186355,2.0,2.0
feno_mean,0.019678066360856696,0.014057305107176973,6.0,10.0
gender_1.0,0.014609070014359514,0.01667242310039036,11.0,9.0
gender_2.0,0.014225236821150442,0.01278244724792591,12.0,11.0
phlegm_most_days_3mo_1.0,0.00304920712910729,0.009524069781823987,26.0,18.0
phlegm_most_days_3mo_2.0,0.0031144894841205082,0.008589360081165183,25.0,19.0
poverty_income_ratio,0.01641030780684594,0.02898234536321213,7.0,6.0
waist_circumference,0.010861442925001451,0.018071530959429954,13.0,7.0
wbc_count,0.008204108860040292,0.01060653345544007,16.0,15.0
wheeze_attacks_past_yr,0.015266297149266467,0.008190804814276895,8.0,20.0
wheeze_disturbs_sleep_0.0,0.004699169987581918,0.011836124694501737,20.0,12.0
wheeze_disturbs_sleep_1.0,0.000978582763184145,0.0022746264947146088,35.0,34.0
wheeze_disturbs_sleep_2.0,0.005197202528564039,0.01009061159056317,19.0,17.0
wheeze_exercise_1.0,0.008729073171538938,0.007018327076097934,15.0,21.0
wheeze_exercise_2.0,0.008096134003937846,0.00545251365027514,18.0,26.0
wheeze_past_12mo_1.0,0.014679242716715205,0.006052546176319541,9.0,24.0
wheeze_past_12mo_2.0,0.01461254654263683,0.005982010769477936,10.0,25.0
work_status_1.0,0.0011498193515954711,0.006067598541774551,33.0,23.0
work_status_2.0,8.115959430642378e-05,8.193535164152102e-05,39.0,39.0
work_status_3.0,8.185965224175558e-05,0.00016929708255374946,38.0,38.0
work_status_4.0,0.0014767366875241704,0.01182824136904585,31.0,13.0
