Variable,Type,Asthma only est,Asthma only SE,Asthma only n,COPD only est,COPD only SE,COPD only n
"Age, years",mean,55.81841542566638,0.38147180631742766,769,62.2168083808836,0.8787381665135421,128
"BMI, kg/m2",mean,31.66330698932047,0.3214612607132787,758,28.447158796569102,0.7949372970918408,126
"Waist circumference, cm",mean,105.63742193441567,0.8916592342478555,716,103.29299715721805,2.307236337507369,123
Poverty-income ratio,mean,2.939218277429468,0.12460221117718301,697,2.4391998961344394,0.17268564232991432,113
"WBC count, 1000 cells/uL",mean,7.3990770944566595,0.1108534836012591,722,7.588807242680382,0.3060996393625799,124
"Eosinophils, %",mean,3.4191777782786246,0.1245363691489052,720,2.7732831654598833,0.21970804107035793,124
"Eosinophil count, 1000 cells/uL",mean,0.2490521599721637,0.010941693755682347,719,0.20311773771854333,0.01563676028843679,124
"FeNO, ppb",mean,22.303323864831373,1.4274471005400244,548,14.533014319189197,1.102620189839346,118
"FEV1, mL",mean,2581.4658718706105,48.31502457848408,521,1929.4194088660224,80.75158546243175,128
"FVC, mL",mean,3533.8138411123828,69.76187522114071,521,3347.184115991719,113.8909969167002,128
Female,proportion,0.6335659886842574,0.03137968886906127,769,0.4200855991430607,0.06130771638657344,128
Ever smoked 100+ cigarettes,proportion,0.5410456038659307,0.019786052404024715,769,0.9286033021337707,0.027916838865402673,128
Current smoker,proportion,0.2134241017306385,0.018127848754592137,769,0.48149803303581884,0.07111073243091934,128
Non-Hispanic White,proportion,0.7289756351457994,0.028067183442197365,769,0.9162916837664964,0.01957653370912611,128
Non-Hispanic Black,proportion,0.14482592307553455,0.019849570556976847,769,0.039163913684998206,0.014236022906747971,128
